form	count	suttas	gloss	headword
sotarogo	1	AN 10.60	ear disease	sotaroga
ghānarogo	1	AN 10.60	nose disease	ghānaroga
jivhārogo	1	AN 10.60	tongue disease	jivhāroga
kāyarogo	1	AN 10.60	body disease	kāyaroga
sīsarogo	1	AN 10.60	head disease	sīsaroga
kaṇṇarogo	1	AN 10.60	ear(-canal) disease	kaṇṇaroga
mukharogo	1	AN 10.60	mouth disease	mukharoga
dantarogo	1	AN 10.60	tooth disease	dantaroga
oṭṭharogo	1	AN 10.60	lip disease	oṭṭharoga
kāso	1	AN 10.60	cough	kāsa
sāso	1	AN 10.60	asthma	sāsa
pināso	1	AN 10.60	catarrh	pināsa
ḍāho	1	AN 10.60	fever, burning	ḍāha
kucchirogo	1	AN 10.60	stomach illness	kucchiroga
mucchā	1	AN 10.60	fainting	mucchā
pakkhandikā	1	AN 10.60	dysentery	pakkhandikā
sūlā	1	AN 10.60	sharp pains, colic	sūlā
visūcikā	1	AN 10.60	cholera	visūcikā
kuṭṭhaṁ	1	AN 10.60	leprosy	kuṭṭha
gaṇḍo	1	AN 10.60	boils	gaṇḍa
kilāso	1	AN 10.60	skin disease, eczema	kilāsa
soso	1	AN 10.60	consumption	sosa
apamāro	1	AN 10.60	epilepsy	apamāra
daddu	1	AN 10.60	ringworm	daddu
kaṇḍu	1	AN 10.60	itch	kaṇḍu
kacchu	1	AN 10.60	scabies	kacchu
nakhasā	1	AN 10.60	nail disease, scab (?)	nakhasā
vitacchikā	1	AN 10.60	wet scabies	vitacchikā
madhumeho	1	AN 10.60	diabetes	madhumeha
aṁsā	1	AN 10.60	tumours, swellings (?)	aṁsā
piḷakā	1	AN 10.60	pustules, boils	piḷakā
bhagandalā	1	AN 10.60	fistula	bhagandalā
pittasamuṭṭhānā	1	AN 10.60	(illnesses) arising from bile	pittasamuṭṭhāna
semhasamuṭṭhānā	1	AN 10.60	(illnesses) arising from phlegm	semhasamuṭṭhāna
vātasamuṭṭhānā	1	AN 10.60	(illnesses) arising from wind	vātasamuṭṭhāna
sannipātikā	1	AN 10.60	(illnesses) from the combination of humours	sannipātika
utupariṇāmajā	1	AN 10.60	born of change of climate	utupariṇāmaja
visamaparihārajā	1	AN 10.60	born of careless behavior	visamaparihāraja
opakkamikā	1	AN 10.60	caused by external injury	opakkamika
kammavipākajā	1	AN 10.60	born of the ripening of kamma	kammavipākaja
sītaṁ	1	AN 10.60	cold	sīta
uṇhaṁ	1	AN 10.60	heat	uṇha
uccāro	1	AN 10.60	feces, excrement (nom.)	uccāra
passāvo’ti	1	AN 10.60	'urine' (quote)	passāva
ādīnavānupassī	1	AN 10.60	contemplating danger	ādīnavānupassin
byāpādavitakkaṁ	1	AN 10.60	thought of ill will (acc.)	byāpādavitakka
vihiṁsāvitakkaṁ	1	AN 10.60	thought of cruelty (acc.)	vihiṁsāvitakka
pāpake	1	AN 10.60	evil (acc. pl.)	pāpaka
akusale	1	AN 10.60	unwholesome (acc. pl.)	akusala
pallaṅkaṁ	1	AN 10.60	cross-legged posture (acc.)	pallaṅka
ābhujitvā	1	AN 10.60	having folded (the legs)	ābhujati
ujuṁ	1	AN 10.60	straight (acc.)	uju
upaṭṭhapetvā	1	AN 10.60	having set up, established	upaṭṭhāpeti
assasati	1	AN 10.60	breathes in	assasati
passasati	1	AN 10.60	breathes out	passasati
Abhippamodayaṁ	1	AN 10.60	gladdening (the mind) (pres. part.)	abhippamodeti
samādahaṁ	1	AN 10.60	concentrating (pres. part.)	samādahati
vimocayaṁ	1	AN 10.60	liberating (pres. part.)	vimoceti
uggahetvā	1	AN 10.60	having learned	uggaṇhāti
abhāsi	1	AN 10.60	spoke	bhāsati
paṭippassambhi	1	AN 10.60	subsided, was allayed	paṭippassambhati
Vuṭṭhahi	1	AN 10.60	emerged, recovered	vuṭṭhahati
cāyasmā	1	AN 10.60	and the venerable (ca + āyasmā)	āyasmant
panāyasmato	1	AN 10.60	but of the venerable (pana + āyasmato)	āyasmant
Dasamaṁ	1	AN 10.60	the tenth (section ending)	dasama
Sacittavaggo	1	AN 10.60	the Chapter on One's Own Mind (title)	sacittavagga
Tassuddānaṁ	1	AN 10.60	its summary verse (tassa + uddānaṁ)	uddāna
Parihāno	1	AN 10.60	decline (summary-verse keyword)	parihāna
pahaṁ	1	AN 10.61	I say (variant of pāhaṁ = pi + ahaṁ)	ahaṁ
kussubbhe	1	AN 10.61	small pools (variant spelling)	kusobbha
kusubbhe	1	AN 10.61	small pools (variant spelling)	kusobbha
kusombhe	1	AN 10.61	small pools (variant spelling)	kusobbha
mahāsombhe	1	AN 10.61	large pools (variant spelling)	mahāsobbha
paripreti	1	AN 10.61	fulfills (misprint for paripūreti)	paripūreti
Taṇhāsutta	1	AN 10.62	the Discourse on Craving (title)	taṇhā
csp1ed	1	AN 10.62	edition marker — not a word	—
csp2ed	1	AN 10.62	edition marker — not a word	—
nīvaraṇepāhaṁ	1	AN 10.62	and the hindrances, I say (nīvaraṇe + pi + ahaṁ)	nīvaraṇa
tiṇṇannaṁ	1	AN 10.62	of the three (gen.)	ti
Assaddhammassavanampāhaṁ	1	AN 10.62	and hearing what is not the true teaching, I say (… + pi + ahaṁ)	assaddhammassavana
tiṇannaṁ	1	AN 10.62	of the three (gen., variant spelling)	ti
paripro	1	AN 10.62	complete (misprint for paripūro)	paripūra
aṭṭhāsi	1	Sn 2.4 / Kp 5	stood	tiṭṭhati
Bahū	1	Sn 2.4 / Kp 5	many (nom. pl.)	bahu
manussā	1	Sn 2.4 / Kp 5	humans (nom. pl.)	manussa
sotthānaṁ	1	Sn 2.4 / Kp 5	safety, well-being (acc.)	sotthāna
paṇḍitānañca	1	Sn 2.4 / Kp 5	and of the wise (paṇḍitānaṁ + ca)	paṇḍita
sevanā	1	Sn 2.4 / Kp 5	association (nom.)	sevanā
Pūjā	1	Sn 2.4 / Kp 5	honoring, veneration (nom.)	pūjā
pūjaneyyānaṁ	1	Sn 2.4 / Kp 5	of those worthy of honor	pūjaneyya
sippañca	1	Sn 2.4 / Kp 5	and a craft (sippaṁ + ca)	sippa
Mātāpituupaṭṭhānaṁ	1	Sn 2.4 / Kp 5	support of mother and father	mātāpituupaṭṭhāna
kammantā	1	Sn 2.4 / Kp 5	works, occupations (nom. pl.)	kammanta
Dānañca	1	Sn 2.4 / Kp 5	and giving (dānaṁ + ca)	dāna
ñātakānañca	1	Sn 2.4 / Kp 5	and of relatives (ñātakānaṁ + ca)	ñātaka
pāpā	1	Sn 2.4 / Kp 5	from evil (abl.)	pāpa
dhammassavanaṁ	1	Sn 2.4 / Kp 5	hearing the Dhamma	dhammassavana
samaṇānañca	1	Sn 2.4 / Kp 5	and of contemplatives (samaṇānaṁ + ca)	samaṇa
dhammasākacchā	1	Sn 2.4 / Kp 5	discussion of the Dhamma	dhammasākacchā
Tapo	1	Sn 2.4 / Kp 5	austerity, ardent practice (nom.)	tapa
ariyasaccāna	1	Sn 2.4 / Kp 5	of the noble truths (gen. pl., metrical)	ariyasacca
maparājitā	1	Sn 2.4 / Kp 5	unvanquished (sandhi -m + aparājitā)	aparājita
sotthiṁ	1	Sn 2.4 / Kp 5	safely, in safety (acc.)	sotthi
Karaṇīyamatthakusalena	1	Kp 9	to be done by one skilled in welfare (karaṇīyaṁ + atthakusalena)	atthakusala
taṃ	1	Kp 9	that (acc.)	ta
Sūvaco	1	Kp 9	easy to speak to (nom.)	suvaca
c’assa	1	Kp 9	and let him be (ca + assa)	atthi
kulesu	1	Kp 9	among families (loc. pl.)	kula
khuddaṃ	1	Kp 9	mean, petty (act) (acc.)	khudda
anavasesā	1	Kp 9	without exception, all (nom. pl.)	anavasesa
paraṃ	1	Kp 9	another, other (acc.)	para
naṃ	1	Kp 9	him (acc. enclitic)	ta
paṭighasaññā	1	Kp 9	perception of aversion (instr. f.)	paṭighasaññā
niyaṃ	1	Kp 9	one's own (acc.)	niya
Evam	1	Kp 9	thus	evaṁ
lokasmiṃ	1	Kp 9	in the world (loc.)	loka
averaṃ	1	Kp 9	free of hatred (acc.)	avera
asapattaṃ	1	Kp 9	free of enmity (acc.)	asapatta
yavāt’assa	1	Kp 9	as long as one is (yāva + assa)	yāva
Etaṃ	1	Kp 9	this (acc.)	eta
satiṃ	1	Kp 9	mindfulness (acc.)	sati
vihāraṃ	1	Kp 9	abiding, dwelling (acc.)	vihāra
idhamāhu	1	Kp 9	they call (it) here (idha + m + āhu)	āha
Diṭṭhiñca	1	Kp 9	and views (diṭṭhiṁ + ca)	diṭṭhi
dassanena	1	Kp 9	with vision (instr.)	dassana
gedhaṃ	1	Kp 9	greed (acc.)	gedha
gabbhaseyyaṃ	1	Kp 9	rebirth in a womb (acc.)	gabbhaseyyā
vimuttisukhapaṭisaṁvedī	1	Ud 1.1	experiencing the bliss of liberation	vimuttisukhapaṭisaṁvedin
samādhimhā	1	Ud 1.1	from that concentration (abl.)	samādhi
avijjāpaccayā	1	Ud 1.1	with ignorance as condition	avijjāpaccaya
viññāṇapaccayā	1	Ud 1.1	with consciousness as condition	viññāṇapaccaya
saḷāyatanapaccayā	1	Ud 1.1	with the six sense-spheres as condition	saḷāyatanapaccaya
phassapaccayā	1	Ud 1.1	with contact as condition	phassapaccaya
upādānapaccayā	1	Ud 1.1	with clinging as condition	upādānapaccaya
bhavapaccayā	1	Ud 1.1	with becoming as condition	bhavapaccaya
jātipaccayā	1	Ud 1.1	with birth as condition	jātipaccaya
sandasseti	1	Ud 8.4	instructs	sandasseti
samuttejeti	1	Ud 8.4	inspires, fires up	samuttejeti
sampahaṁseti	1	Ud 8.4	gladdens	sampahaṁseti
Tedha	1	Ud 8.4	then those (monks) (te + idha: those here)	ta
aṭṭhiṁ	1	Ud 8.4	heedfully (idiom aṭṭhiṁ katvā = paying attention)	attha
samannāharitvā	1	Ud 8.4	having given full attention	samannāharati
ohitasotā	1	Ud 8.4	with attentive ears (nom. pl.)	ohitasota
Nissitassa	1	Ud 8.4	for one who clings, is dependent (gen.)	nissita
anissitassa	1	Ud 8.4	for one who does not cling (gen.)	anissita
āgatigati	1	Ud 8.4	coming and going (nom.)	āgatigati
Āgatigatiyā	1	Ud 8.4	when coming and going (is not) (loc.)	āgatigati
cutūpapāto	1	Ud 8.4	passing away and rearising (nom.)	cutūpapāta
Cutūpapāte	1	Ud 8.4	when passing away and rearising (is not) (loc.)	cutūpapāta
nevidha	1	Ud 8.4	neither here (na + eva + idha)	idha
ubhayamantarena	1	Ud 8.4	nor between the two (ubhayam + antarena)	antara
Esevanto	1	Ud 8.4	just this is the end (eso + eva + anto)	anta
pāvā	1	Ud 8.5	Pāvā (town, nom.)	pāvā
ambavane	1	Ud 8.5	in the mango grove (loc.)	ambavana
Assosi	1	Ud 8.5	heard	suṇāti
pāvaṁ	1	Ud 8.5	to Pāvā (acc.)	pāvā
ambavane”ti	1	Ud 8.5	'in the mango grove' (quote)	ambavana
sandassesi	1	Ud 8.5	instructed	sandasseti
samādapesi	1	Ud 8.5	encouraged	samādapeti
samuttejesi	1	Ud 8.5	inspired	samuttejeti
sampahaṁsesi	1	Ud 8.5	gladdened	sampahaṁseti
sandassito	1	Ud 8.5	instructed (past part.)	sandasseti
samādapito	1	Ud 8.5	encouraged (past part.)	samādapeti
samuttejito	1	Ud 8.5	inspired (past part.)	samuttejeti
sampahaṁsito	1	Ud 8.5	gladdened (past part.)	sampahaṁseti
svātanāya	1	Ud 8.5	for tomorrow (dat.)	svātana
bhikkhusaṅghenā”ti	1	Ud 8.5	'with the community of monks' (quote)	bhikkhusaṅgha
tuṇhībhāvena	1	Ud 8.5	by silence (instr.)	tuṇhībhāva
adhivāsanaṁ	1	Ud 8.5	consent, acceptance (acc.)	adhivāsana
uṭṭhāyāsan	1	Ud 8.5	having risen from the seat (uṭṭhāya + āsanā, truncated)	uṭṭhahati
sake	1	Ud 8.5	in his own (loc.)	saka
nivesane	1	Ud 8.5	in the residence (loc.)	nivesana
paṭiyādāpetvā	1	Ud 8.5	having had (food) prepared	paṭiyādāpeti
pahūtañca	1	Ud 8.5	and abundant (pahūtaṁ + ca)	pahūta
ārocāpesi	1	Ud 8.5	had (the time) announced	ārocāpeti
kālo	1	Ud 8.5	it is time (nom.)	kāla
niṭṭhitaṁ	1	Ud 8.5	is ready, finished	niṭṭhita
bhattan”ti	1	Ud 8.5	'the meal' (quote)	bhatta
nivesanaṁ	1	Ud 8.5	residence (acc.)	nivesana
paññatte	1	Ud 8.5	prepared, laid out (loc.)	paññatta
parivisa	1	Ud 8.5	serve! (imperative)	parivisati
parivisā”ti	1	Ud 8.5	'serve' (quote, imperative)	parivisati
nikhaṇāhi	1	Ud 8.5	bury! (imperative)	nikhaṇati
passāmi	1	Ud 8.5	I see	passati
samārake	1	Ud 8.5	with its Māras (loc.)	samāraka
sadevamanussāya	1	Ud 8.5	with its devas and humans	sadevamanussa
paribhuttaṁ	1	Ud 8.5	eaten, consumed (acc.)	paribhuñjati
pariṇāmaṁ	1	Ud 8.5	(proper) digestion (acc.)	pariṇāma
gaccheyya	1	Ud 8.5	would go	gacchati
nikhaṇitvā	1	Ud 8.5	having buried	nikhaṇati
bhuttāvissa	1	Ud 8.5	for one who had eaten (gen.)	bhuttāvin
kharo	1	Ud 8.5	severe, harsh (nom.)	khara
uppajji	1	Ud 8.5	arose	uppajjati
Lohitapakkhandikā	1	Ud 8.5	bloody dysentery (nom.)	lohitapakkhandikā
pabāḷhā	1	Ud 8.5	severe, acute (nom.)	pabāḷha
vattanti	1	Ud 8.5	occur, go on	vattati
māraṇantikā	1	Ud 8.5	deadly, bordering on death (nom.)	māraṇantika
suda	1	Ud 8.5	(emphatic particle, = sudaṁ)	sudaṁ
avihaññamāno	1	Ud 8.5	without being distressed (pres. part.)	vihaññati
āyāmānanda	1	Ud 8.5	come, Ānanda (āyāma + ānanda)	āyāti
kusinārā	1	Ud 8.5	Kusinārā (town)	kusinārā
tenupasaṅkamissāmā”ti	1	Ud 8.5	'we will go there' (tena + upasaṅkamissāma, quote)	upasaṅkamati
paccassosi	1	Ud 8.5	consented, replied 'yes'	paṭissuṇāti
kammārassāti	1	Ud 8.5	'of the smith' (quote) (kammārassa + ti)	kammāra
samphusī	1	Ud 8.5	experienced, was touched by	samphusati
dhīro	1	Ud 8.5	the wise one (nom.)	dhīra
pabāḷhaṁ	1	Ud 8.5	severe (acc.)	pabāḷha
māraṇantikaṁ	1	Ud 8.5	deadly (acc.)	māraṇantika
Bhuttassa	1	Ud 8.5	for him who had eaten (gen.)	bhuñjati
sūkaramaddavena	1	Ud 8.5	by the sūkaramaddava dish (instr.)	sūkaramaddava
Byādhippabāḷho	1	Ud 8.5	severe sickness (byādhi + pabāḷha) (nom.)	byādhi
Viriccamāno	1	Ud 8.5	being purged (pres. part.)	viriccati
Gacchāmahaṁ	1	Ud 8.5	I shall go (gacchāmi + ahaṁ)	gacchati
kusināraṁ	1	Ud 8.5	to Kusinārā (acc.)	kusinārā
nagaran”ti	1	Ud 8.5	'the city' (quote)	nagara
okkamma	1	Ud 8.5	having stepped off (the road)	okkamati
nisīdissāmī”ti	1	Ud 8.5	'I will sit down' (quote)	nisīdati
pañatte	1	Ud 8.5	prepared (loc., misprint for paññatte)	paññatta
pañcamattāni	1	Ud 8.5	five in number (with satāni: five hundred)	pañcamatta
sakaṭasatāni	1	Ud 8.5	hundreds of carts	sakaṭasata
atikkantāni	1	Ud 8.5	passed over, crossed (nt. pl.)	atikkamati
cakkacchinnaṁ	1	Ud 8.5	cut up by wheels (acc.)	cakkacchinna
luḷitaṁ	1	Ud 8.5	stirred up (acc.)	luḷita
āvilaṁ	1	Ud 8.5	turbid (acc.)	āvila
acchodakā	1	Ud 8.5	with clear water (nom. f.)	acchodaka
sātodakā	1	Ud 8.5	with sweet water (nom. f.)	sātodaka
sītodakā	1	Ud 8.5	with cool water (nom. f.)	sītodaka
setodakā	1	Ud 8.5	with translucent, white water (nom. f.)	setodaka
supatitthā	1	Ud 8.5	with good fords, banks (nom. f.)	supatittha
ramaṇīyā	1	Ud 8.5	delightful (nom. f.)	ramaṇīya
pānīyañca	1	Ud 8.5	and drinking water (pānīyaṁ + ca)	pānīya
pivissati	1	Ud 8.5	will drink	pivati
gattāni	1	Ud 8.5	limbs (acc. pl.)	gatta
sītīkarissatī”ti	1	Ud 8.5	'will cool' (quote)	sītīkaroti
sandatī”ti	1	Ud 8.5	'flows' (quote)	sandati
ādāya	1	Ud 8.5	having taken	ādāti
pānīyan”ti	1	Ud 8.5	'drinking water' (quote)	pānīya
nadiṁ	1	Ud 8.5	river (acc.)	nadī
paccuttaritvā	1	Ud 8.5	having come back out (of the water)	paccuttarati
nipajjissāmī”ti	1	Ud 8.5	'I will lie down' (quote)	nipajjati
sīhaseyyaṁ	1	Ud 8.5	the lion's posture (acc.)	sīhaseyyā
kappesi	1	Ud 8.5	adopted, arranged	kappeti
accādhāya	1	Ud 8.5	having placed (one foot) upon the other	accādahati
karitvā	1	Ud 8.5	having made, done	karoti
Gantvāna	1	Ud 8.5	having gone (poetic)	gacchati
nadikaṁ	1	Ud 8.5	the little river (acc.)	nadikā
Acchodakaṁ	1	Ud 8.5	with clear water (acc.)	acchodaka
sātudakaṁ	1	Ud 8.5	with sweet water (acc., variant spelling)	sātodaka
vippasannaṁ	1	Ud 8.5	pure, limpid (acc.)	vippasanna
Ogāhi	1	Ud 8.5	plunged in	ogāhati
appaṭimodha	1	Ud 8.5	peerless here (appaṭimo + idha)	appaṭima
cudatāri	1	Ud 8.5	and crossed back out (ca + udatāri)	uttarati
Purakkhato	1	Ud 8.5	honored at the head (of) (nom.)	purakkhata
bhikkhugaṇassa	1	Ud 8.5	of the company of monks (gen.)	bhikkhugaṇa
Upāgami	1	Ud 8.5	went to, approached	upagacchati
mahesi	1	Ud 8.5	the great sage (nom.)	mahesi
Āmantayi	1	Ud 8.5	addressed	āmanteti
santhara	1	Ud 8.5	spread out! (imperative)	santharati
nipajjaṁ	1	Ud 8.5	lying down (?)	nipajjati
bhāvitattena	1	Ud 8.5	by the one of developed self (instr.)	bhāvitatta
santhari	1	Ud 8.5	spread out (aorist)	santharati
khippameva	1	Ud 8.5	very quickly (khippaṁ + eva)	khippa
Nipajji	1	Ud 8.5	lay down	nipajjati
Cundopi	1	Ud 8.5	Cunda too (cundo + pi)	cunda
pamukhe	1	Ud 8.5	in front, at the head (loc.)	pamukha
panānanda	1	Ud 8.5	but, Ānanda (pana + ānanda)	pana
vippaṭisāraṁ	1	Ud 8.5	remorse (acc.)	vippaṭisāra
upadaheyya	1	Ud 8.5	might arouse, cause	upadahati
alābhā	1	Ud 8.5	it is a loss (for you)	alābha
dulladdhaṁ	1	Ud 8.5	ill-gotten, a misfortune	dulladdha
paṭivinodetabbo	1	Ud 8.5	should be dispelled	paṭivinodeti
paṭiggahitaṁ	1	Ud 8.5	received, accepted	paṭiggaṇhāti
anuttaraṁ	1	Ud 8.5	unsurpassed (acc.)	anuttara
sammāsambodhiṁ	1	Ud 8.5	perfect awakening (acc.)	sammāsambodhi
nibbānadhātuyā	1	Ud 8.5	in the nibbāna element (loc.)	nibbānadhātu
parinibbāyati	1	Ud 8.5	attains final nibbāna	parinibbāyati
Āyusaṁvattanikaṁ	1	Ud 8.5	conducive to long life (acc.)	āyusaṁvattanika
vaṇṇasaṁvattanikaṁ	1	Ud 8.5	conducive to beauty (acc.)	vaṇṇasaṁvattanika
sukhasaṁvattanikaṁ	1	Ud 8.5	conducive to happiness (acc.)	sukhasaṁvattanika
saggasaṁvattanikaṁ	1	Ud 8.5	conducive to heaven (acc.)	saggasaṁvattanika
yasasaṁvattanikaṁ	1	Ud 8.5	conducive to fame (acc.)	yasasaṁvattanika
ādhipateyyasaṁvattanikaṁ	1	Ud 8.5	conducive to lordship (acc.)	ādhipateyyasaṁvattanika
upacitan’ti	1	Ud 8.5	'accumulated' (quote)	upacināti
paṭivinodetabbo”ti	1	Ud 8.5	'should be dispelled' (quote)	paṭivinodeti
Dadato	1	Ud 8.5	for one who gives (gen. pres. part.)	dadāti
puññaṁ	1	Ud 8.5	merit	puñña
pavaḍḍhati	1	Ud 8.5	increases	pavaḍḍhati
Saṁyamato	1	Ud 8.5	for one who is self-restrained (gen.)	saṁyamati
cīyati	1	Ud 8.5	is accumulated, heaped up	cināti
Kusalo	1	Ud 8.5	the skilful one (nom.)	kusala
jahāti	1	Ud 8.5	abandons	jahati
Rāgadosamohakkhayā	1	Ud 8.5	through the destruction of craving, aversion, and delusion	rāgadosamohakkhaya
sanibbuto”ti	1	Ud 8.5	'he is quenched' (quote) (sa + nibbuto)	nibbuta
kosalesu	1	Ud 8.7	among the Kosalans (loc. pl.)	kosala
addhānamaggappaṭipanno	1	Ud 8.7	travelling along a main road (nom.)	addhānamaggappaṭipanna
nāgasamālena	1	Ud 8.7	with Nāgasamāla (instr.)	nāgasamāla
dvidhāpathaṁ	1	Ud 8.7	a fork in the road (acc.)	dvidhāpatha
pattacīvaraṁ	1	Ud 8.7	bowl and robe (acc.)	pattacīvara
pattacīvaran”ti	1	Ud 8.7	'bowl and robe' (quote)	pattacīvara
ngasamālassa	1	Ud 8.7	of Nāgasamāla (gen., misprint for nāgasamālassa)	nāgasamāla
vipphālesuṁ	1	Ud 8.7	they tore apart	vipphāleti
vipphālitāya	1	Ud 8.7	torn (instr./gen. f.)	vipphāleti
vipphālesun”ti	1	Ud 8.7	'they tore apart' (quote)	vipphāleti
caramekato	1	Ud 8.7	wandering as one (caraṁ + ekato)	carati
vasaṁ	1	Ud 8.7	dwelling (pres. part.)	vasati
Misso	1	Ud 8.7	mixed (with) (nom.)	missa
aññajanena	1	Ud 8.7	with other people (instr.)	aññajana
Vidvā	1	Ud 8.7	the wise one, knowing (nom.)	vidvant
pajahāti	1	Ud 8.7	abandons	pajahati
Koñco	1	Ud 8.7	heron, crane (nom.)	koñca
khīrapakova	1	Ud 8.7	like a milk-drinking (calf) (khīrapako + iva)	khīrapaka
veḷuvane	1	Ud 8.9	in the Bamboo Grove (loc.)	veḷuvana
kalandakanivāpe	1	Ud 8.9	at the Squirrels' Feeding Ground (loc.)	kalandakanivāpa
Yassadāni	1	Ud 8.9	for which now (yassa + dāni)	ya
maññasī”ti	1	Ud 8.9	'you think (fit)' (quote)	maññati
parinibbāyi	1	Ud 8.9	attained final nibbāna	parinibbāyati
sappissa	1	Ud 8.9	of ghee (gen.)	sappi
telassa	1	Ud 8.9	of oil (gen.)	tela
masīti	1	Ud 8.9	'soot' (quote) (masi + iti)	masi
Abhedi	1	Ud 8.9	broke apart	bhijjati
sītibhaviṁsu	1	Ud 8.9	became cool	sītibhavati
Vūpasamiṁsu	1	Ud 8.9	were stilled	vūpasammati
atthamāgamā”ti	1	Ud 8.9	'came to an end, went to rest' (atthaṁ + agamā, quote)	atthaṅgacchati
Navamaṁ	1	Ud 8.9	the ninth (section ending)	navama
duṭṭhāse	1	Iti 2	defiled (nom. pl., archaic)	duṭṭha
avirājayaṁ	1	Iti 7	not becoming detached from (pres. part.)	virājeti
appajahaṁ	1	Iti 7	not abandoning (pres. part.)	pajahati
dukkhakkhayāya	1	Iti 7	for the destruction of suffering (dat.)	dukkhakkhaya
dukkhakkhayāyā”ti	1	Iti 7	'for the destruction of suffering' (quote)	dukkhakkhaya
rajjati	1	Iti 7	is attached, delights in	rajjati
ve	1	Iti 7	indeed (emphatic particle)	ve
ekanīvaraṇampi	1	Iti 14	even one hindrance (eka + nīvaraṇaṁ + pi)	nīvaraṇa
ekadhammopi	1	Iti 14	even one thing (eko + dhammo + pi)	dhamma
yenevaṁ	1	Iti 14	by which thus (yena + evaṁ)	ya
ahorattaṁ	1	Iti 14	day and night (acc.)	ahoratta
āvutā	1	Iti 14	shrouded, obstructed (nom. pl.)	āvuta
pahantvāna	1	Iti 14	having abandoned (poetic)	pajahati
padālayuṁ	1	Iti 14	they shattered, burst apart	padāleti
hetu	1	Iti 14	cause	hetu
ekasaṁyojanampi	1	Iti 15	even one fetter (eka + saṁyojanaṁ + pi)	saṁyojana
puriso	1	Iti 15	man, person (nom.)	purisa
dīghamaddhāna	1	Iti 15	for a long time (dīgham + addhānaṁ)	addhāna
Itthabhāvaññathābhāvaṁ	1	Iti 15	this state and other states (of existence) (acc.)	itthabhāvaññathābhāva
nātivattati	1	Iti 15	does not transcend (na + ativattati)	ativattati
Etamādīnavaṁ	1	Iti 15	this danger (etaṁ + ādīnavaṁ)	ādīnava
Vītataṇho	1	Iti 15	free of craving (nom.)	vītataṇha
paribbaje”ti	1	Iti 15	'should wander forth' (quote, opt.)	paribbajati
bhāyittha	1	Iti 22	(do not) fear (2 pl.)	bhāyati
Sukhassetaṁ	1	Iti 22	this is (a name) for happiness (sukhassa + etaṁ)	sukha
piyassa	1	Iti 22	of what is dear (gen.)	piya
Abhijānāmi	1	Iti 22	I recall, know directly	abhijānāti
katānaṁ	1	Iti 22	done, performed (gen. pl.)	karoti
piyaṁ	1	Iti 22	dear, pleasing (acc.)	piya
vipākaṁ	1	Iti 22	result (acc.)	vipāka
paccanubhūtaṁ	1	Iti 22	experienced (acc.)	paccanubhoti
vassāni	1	Iti 22	years (acc. pl.)	vassa
bhāvetvā	1	Iti 22	having developed, cultivated	bhāveti
saṁvaṭṭavivaṭṭakappe	1	Iti 22	eons of contraction and expansion	saṁvaṭṭavivaṭṭakappa
nayimaṁ	1	Iti 22	not to this (na + imaṁ)	ima
punarāgamāsiṁ	1	Iti 22	I came back again (puna + āgamāsiṁ)	āgacchati
Saṁvaṭṭamāne	1	Iti 22	when (the eon) was contracting (loc. absolute)	saṁvaṭṭati
ābhassarūpago	1	Iti 22	gone to the Ābhassara (radiant) realm (nom.)	ābhassarūpaga
vivaṭṭamāne	1	Iti 22	when (the eon) was expanding (loc. absolute)	vivaṭṭati
suññaṁ	1	Iti 22	empty (acc.)	suñña
brahmavimānaṁ	1	Iti 22	Brahmā mansion (acc.)	brahmavimāna
upapajjāmi	1	Iti 22	I was reborn (in)	upapajjati
mahābrahmā	1	Iti 22	Great Brahmā (nom.)	mahābrahmā
abhibhū	1	Iti 22	vanquisher, overlord	abhibhū
anabhibhūto	1	Iti 22	unvanquished (nom.)	anabhibhūta
aññadatthudaso	1	Iti 22	all-seeing (nom.)	aññadatthudasa
vasavattī	1	Iti 22	wielder of power (nom.)	vasavattin
Chattiṁsakkhattuṁ	1	Iti 22	thirty-six times	chattiṁsakkhattuṁ
devānamindo	1	Iti 22	lord of devas (Sakka) (nom.)	devānaminda
anekasatakkhattuṁ	1	Iti 22	many hundreds of times	anekasatakkhattuṁ
dhammiko	1	Iti 22	righteous (nom.)	dhammika
dhammarājā	1	Iti 22	righteous king (nom.)	dhammarājā
cāturanto	1	Iti 22	(ruler) of the four quarters (nom.)	cāturanta
vijitāvī	1	Iti 22	victorious (nom.)	vijitāvin
janapadatthāvariyappatto	1	Iti 22	attained stability in the country (nom.)	janapadatthāvariyappatta
sattaratanasamannāgato	1	Iti 22	endowed with the seven treasures (nom.)	sattaratanasamannāgata
vādo	1	Iti 22	saying (in 'ko pana vādo' = what to say of, let alone)	vāda
padesarajjassa	1	Iti 22	of local kingship (gen.)	padesarajja
evaṁmahānubhāvo’ti	1	Iti 22	'of such great majesty' (quote)	evaṁmahānubhāva
evaṁmahānubhāvoti	1	Iti 22	'of such great majesty' (quote)	evaṁmahānubhāva
saññamassā’”ti	1	Iti 22	'of restraint' (quote)	saññama
sikkheyya	1	Iti 22	should train	sikkhati
āyataggaṁ	1	Iti 22	with far-reaching, long-lasting outcome (acc.)	āyatagga
sukhudrayaṁ	1	Iti 22	yielding happiness (acc.)	sukhudraya
samacariyañca	1	Iti 22	and peaceful conduct (samacariyaṁ + ca)	samacariyā
Ete	1	Iti 22	these (nom. pl.)	eta
